id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,price
1.1223412648712502e+18,40.76039601225026,-73.99193152160707,Hell's Kitchen,Manhattan,53.0
7.289746387075562e+17,40.76568,-73.96721,Upper East Side,Manhattan,235.0
19505956.0,40.7877,-73.95037,East Harlem,Manhattan,350.0
21794.0,40.74187,-74.00223,Chelsea,Manhattan,85.0
50000106.0,40.74624,-73.98692,Midtown,Manhattan,202.0
36134670.0,40.82663,-73.93768,Harlem,Manhattan,52.0
45750107.0,40.74909,-73.9774,Murray Hill,Manhattan,179.0
50634369.0,40.75994,-73.99665,Hell's Kitchen,Manhattan,122.0
53606452.0,40.7451,-73.98274,Midtown,Manhattan,110.0
5.6020566394977056e+17,40.721338136279655,-73.99426986026737,Nolita,Manhattan,169.0
8.542631445034162e+17,40.79957640410716,-73.96627889761156,Upper West Side,Manhattan,135.0
8.669072541323814e+17,40.75974,-73.98615,Theater District,Manhattan,156.0
45418350.0,40.76583,-73.99004,Hell's Kitchen,Manhattan,100.0
51350836.0,40.78358,-73.94449,East Harlem,Manhattan,70.0
45261830.0,40.74632,-73.98804,Midtown,Manhattan,168.0
7.826610080195508e+17,40.71375,-73.99147,Chinatown,Manhattan,118.0
38975498.0,40.77562,-73.95162,Upper East Side,Manhattan,165.0
38624988.0,40.76106,-73.95926,Upper East Side,Manhattan,179.0
30811789.0,40.81514,-73.935,East Harlem,Manhattan,125.0
1.2907481923281498e+18,40.7644809,-73.9889458,Hell's Kitchen,Manhattan,100.0
1.0523987123792796e+18,40.81014,-73.95438,Harlem,Manhattan,65.0
816888.0,40.85551,-73.93459,Washington Heights,Manhattan,67.0
23840461.0,40.82372,-73.94546,Harlem,Manhattan,35.0
6.002631160641277e+17,40.721455,-73.994423,Nolita,Manhattan,155.0
9.979863539325032e+17,40.71901413009839,-73.98989974641185,Lower East Side,Manhattan,150.0
39647259.0,40.80385,-73.93611,East Harlem,Manhattan,35.0
47397326.0,40.74757,-73.98887,Midtown,Manhattan,109.0
6.180231283014711e+17,40.79411807890201,-73.93260976645611,East Harlem,Manhattan,707.0
20897952.0,40.78263,-73.97559,Upper West Side,Manhattan,93.0
9.118905557208554e+17,40.72413,-73.98451,East Village,Manhattan,142.0
1.3586460348638129e+18,40.77441791031169,-73.95719511841445,Upper East Side,Manhattan,134.0
6.22853236242589e+17,40.7775972,-73.9884665,Upper West Side,Manhattan,326.0
23130144.0,40.77977625481822,-73.94968295085873,Upper East Side,Manhattan,101.0
34206567.0,40.71476,-73.98059,Lower East Side,Manhattan,199.0
4297952.0,40.74912,-73.99667,Chelsea,Manhattan,170.0
7.0532070686903e+17,40.73820727720397,-73.97994035801727,Kips Bay,Manhattan,147.0
9.860768576720942e+17,40.71149,-74.01156,Financial District,Manhattan,740.0
1.1408103186067168e+18,40.75673,-73.99291,Hell's Kitchen,Manhattan,159.0
7.201827627677656e+17,40.84761,-73.94097,Washington Heights,Manhattan,59.0
1.2950540214394796e+18,40.80795714835974,-73.94182707963716,Harlem,Manhattan,518.0
31466176.0,40.81325,-73.94841,Harlem,Manhattan,118.0
6326681.0,40.72556,-73.99036,East Village,Manhattan,155.0
21076625.0,40.8057,-73.95026,Harlem,Manhattan,77.0
9.492820628618228e+17,40.760894,-73.96948739999999,Midtown,Manhattan,246.0
49126425.0,40.75364,-73.97132,Midtown,Manhattan,227.0
1.2160352125194588e+18,40.80914236602036,-73.9557882260634,Morningside Heights,Manhattan,126.0
15767826.0,40.73742,-73.98247,Gramercy,Manhattan,274.0
6.056774937355227e+17,40.77087,-73.95535,Upper East Side,Manhattan,100.0
45688536.0,40.70616,-74.01482,Financial District,Manhattan,221.0
15943475.0,40.77666,-73.98417,Upper West Side,Manhattan,117.0
1.264437085735167e+18,40.70998908505366,-74.00900549476916,Financial District,Manhattan,180.0
7.404301641156831e+17,40.7707911,-73.95750079999999,Upper East Side,Manhattan,333.0
43315235.0,40.71962,-73.9939,Lower East Side,Manhattan,145.0
1.1825864920721329e+18,40.736742370642176,-74.0045098299553,West Village,Manhattan,362.0
44663787.0,40.74084,-73.97774,Kips Bay,Manhattan,159.0
9.03067025276062e+17,40.74539123191994,-73.97677356979136,Murray Hill,Manhattan,151.0
7.58848341186428e+17,40.7366,-73.98584,Gramercy,Manhattan,172.0
1.2545403629637742e+18,40.728806068658976,-74.00136526703395,Greenwich Village,Manhattan,212.0
50619651.0,40.749866,-73.997162,Chelsea,Manhattan,71.0
51058734.0,40.76395,-73.98369,Midtown,Manhattan,152.0
8.216780725742019e+17,40.749239358278,-73.98230553524067,Midtown,Manhattan,140.0
9.024558784272884e+17,40.74487,-73.97609,Kips Bay,Manhattan,75.0
9.687965016610828e+17,40.8081158,-73.93986269999999,East Harlem,Manhattan,171.0
1.3616687522038036e+18,40.75911569596538,-73.96307945821324,Midtown,Manhattan,116.0
1.0275187639938442e+18,40.81116179751768,-73.94467296128626,Harlem,Manhattan,203.0
8.434215066588419e+17,40.75109,-73.98058,Midtown,Manhattan,178.0
45747355.0,40.71818,-73.99534,Chinatown,Manhattan,165.0
5.94978227209109e+17,40.71301,-73.99594,Chinatown,Manhattan,108.0
1.0095928644109332e+18,40.7563631213003,-73.97297449959326,Midtown,Manhattan,160.0
42300.0,40.71992,-73.99167,Lower East Side,Manhattan,563.0
46115154.0,40.76159,-73.9926,Hell's Kitchen,Manhattan,155.0
1.3398281352327514e+18,40.73039,-73.98894,East Village,Manhattan,332.0
1.140112176584548e+18,40.76232011016821,-73.99166033146743,Hell's Kitchen,Manhattan,318.0
27919104.0,40.8099,-73.94421,Harlem,Manhattan,130.0
4126676.0,40.767,-73.98499,Hell's Kitchen,Manhattan,221.0
17713865.0,40.7675,-73.95538,Upper East Side,Manhattan,105.0
1.165965036051272e+18,40.74808493456069,-73.98829388116249,Midtown,Manhattan,71.0
1.035961933887794e+18,40.74513,-73.99509,Chelsea,Manhattan,542.0
1.1073213820102164e+18,40.7870016,-73.9509363,East Harlem,Manhattan,342.0
18430588.0,40.82366,-73.94514,Harlem,Manhattan,36.0
8.667269676083928e+17,40.71029963391112,-74.00834707016185,Financial District,Manhattan,270.0
7.922995962517166e+17,40.75902,-73.99434,Hell's Kitchen,Manhattan,408.0
51014536.0,40.79673,-73.962547,Upper West Side,Manhattan,80.0
29495933.0,40.76455,-73.99033,Hell's Kitchen,Manhattan,380.0
7.40446516694389e+17,40.7707911,-73.95750079999999,Upper East Side,Manhattan,295.0
43054170.0,40.741153717041016,-73.97921752929688,Kips Bay,Manhattan,115.0
1465446.0,40.80454,-73.9462,Harlem,Manhattan,105.0
27498398.0,40.80764,-73.94039,East Harlem,Manhattan,386.0
1.1261066486747872e+18,40.77138632262805,-73.9580876562355,Upper East Side,Manhattan,272.0
18290561.0,40.814148,-73.943657,Harlem,Manhattan,130.0
52169886.0,40.71533,-74.00851,Tribeca,Manhattan,318.0
21098717.0,40.74838,-73.97574,Murray Hill,Manhattan,160.0
7.515271524431761e+17,40.7332605,-73.9855281,Gramercy,Manhattan,570.0
1.1996596424665492e+18,40.75508,-73.98106,Midtown,Manhattan,226.0
19905347.0,40.73603,-73.99234,Chelsea,Manhattan,290.0
29148550.0,40.74533081054688,-73.9798583984375,Kips Bay,Manhattan,110.0
43311409.0,40.71988,-73.99556,Little Italy,Manhattan,181.0
49179068.0,40.70965,-73.99424,Two Bridges,Manhattan,245.0
1.0906175827255217e+18,40.76952,-73.95645,Upper East Side,Manhattan,126.0
13894813.0,40.75702,-73.98293,Theater District,Manhattan,76.0
25537456.0,40.76418,-73.96742,Upper East Side,Manhattan,165.0
10053943.0,40.82845,-73.94103,Harlem,Manhattan,102.0
7.719183902643005e+17,40.721518,-73.9850044,Lower East Side,Manhattan,392.0
1.1267348937129078e+18,40.71035888520756,-74.00888393576496,Financial District,Manhattan,241.0
10243895.0,40.78256,-73.9758,Upper West Side,Manhattan,250.0
39484704.0,40.73891067504883,-73.98082733154297,Kips Bay,Manhattan,192.0
8.23957834958768e+17,40.76662,-73.98422,Hell's Kitchen,Manhattan,184.0
6.922527927585229e+17,40.84306,-73.93719,Washington Heights,Manhattan,49.0
53587623.0,40.75775,-73.99516,Hell's Kitchen,Manhattan,222.0
7.665871140435475e+17,40.74782,-73.98652,Midtown,Manhattan,199.0
43751271.0,40.73927,-73.99974,Chelsea,Manhattan,155.0
11496607.0,40.804048279839726,-73.94549911530724,Harlem,Manhattan,186.0
53475354.0,40.78815,-73.94322,East Harlem,Manhattan,99.0
33133494.0,40.80249508658761,-73.9645143225789,Upper West Side,Manhattan,75.0
54162906.0,40.84072,-73.93907,Washington Heights,Manhattan,110.0
1.0508319809857448e+18,40.74714796027058,-73.98938780728176,Midtown,Manhattan,367.0
3689140.0,40.73404,-74.00364,West Village,Manhattan,241.0
34150118.0,40.79337,-73.93392,East Harlem,Manhattan,170.0
23202549.0,40.74315,-73.98137,Kips Bay,Manhattan,249.0
