description,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,host_verifications_email,host_verifications_phone,host_verifications_work_email,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,host_category,host_non_exposure,hosting_period,recent_last_review,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
1,4.0,0,2.0,1.0,0.83,0,32.0,33.0,1,1,5.0,1.0,2.0,3.0,30.0,90.0,365.0,365.0,0.0,0.0,26.0,212.0,4.0,1.0,0.0,151.0,60.0,4.5,4.25,4.5,5.0,4.75,4.75,4.25,0,1,32.0,32.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,28.0,2,1,24.0,8.0,False,False,False,False,False,False
1,4.0,0,1.0,1.0,1.0,0,10.0,10.0,1,1,2.0,1.0,1.0,1.0,1.0,1.0,365.0,365.0,23.0,53.0,83.0,205.0,418.0,418.0,27.0,176.0,255.0,4.6,4.57,4.53,4.78,4.73,4.84,4.47,1,1,10.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,12.0,1,0,11.0,1.0,False,True,False,True,False,False
1,1.0,0,1.0,1.0,1.0,0,4.0,4.0,1,0,1.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,60.0,90.0,365.0,89.0,3.0,0.0,304.0,180.0,4.7,4.74,4.75,4.82,4.81,4.6,4.7,0,1,4.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,35.0,1,0,35.0,2.0,False,True,False,False,False,False
1,4.0,0,2.0,1.0,0.83,0,32.0,33.0,1,1,3.0,1.0,0.0,2.0,30.0,90.0,365.0,365.0,29.0,59.0,89.0,364.0,2.0,1.0,0.0,304.0,60.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,32.0,32.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,28.0,2,1,14.0,6.0,False,False,False,False,False,False
1,1.0,1,1.0,0.98,1.0,0,80.0,764.0,1,1,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1125.0,28.0,58.0,88.0,334.0,137.0,21.0,0.0,303.0,255.0,4.55,4.61,4.64,4.73,4.59,4.85,4.43,1,1,79.0,37.0,42.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,77.0,2,1,47.0,2.0,False,True,False,True,False,False
1,1.0,1,3.0,0.75,0.7,0,31.0,31.0,1,1,2.0,1.0,1.0,1.0,30.0,30.0,360.0,360.0,0.0,0.0,30.0,305.0,7.0,0.0,0.0,245.0,0.0,4.29,4.29,4.43,4.43,4.43,4.43,3.57,0,1,31.0,31.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,2.0,0.0,132.0,2,0,115.0,40.0,False,False,False,False,False,False
1,1.0,1,2.0,1.0,1.0,1,6.0,12.0,1,1,5.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,29.0,59.0,89.0,269.0,31.0,0.0,0.0,269.0,0.0,4.71,4.68,4.42,4.77,4.97,4.97,4.68,0,1,6.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,44.0,5.0,0.0,172.0,1,1,50.0,17.0,False,False,False,False,False,False
1,1.0,0,1.0,1.0,0.99,0,29.0,29.0,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1125.0,1125.0,15.0,26.0,35.0,247.0,3.0,3.0,0.0,189.0,38.0,3.67,4.0,3.67,4.33,4.67,4.33,3.67,1,1,29.0,3.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,24.0,5.0,0.0,50.0,2,0,9.0,4.0,False,True,False,False,True,False
1,1.0,1,1.0,1.0,0.83,1,5.0,16.0,1,0,2.0,1.0,1.0,0.0,30.0,30.0,365.0,365.0,29.0,59.0,89.0,269.0,1.0,1.0,0.0,269.0,60.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0,1,3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,122.0,1,1,12.0,12.0,False,True,False,False,False,False
1,2.0,0,1.0,1.0,1.0,0,21.0,28.0,1,0,6.0,1.0,0.0,3.0,1.0,2.0,1125.0,1125.0,14.0,23.0,43.0,245.0,149.0,30.0,1.0,245.0,255.0,4.34,4.54,4.39,4.62,4.54,4.71,4.33,1,1,21.0,15.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,4.0,0.0,79.0,2,1,74.0,1.0,False,False,False,False,False,False
1,1.0,1,2.0,1.0,0.86,0,4.0,5.0,1,0,1.0,1.0,1.0,0.0,30.0,30.0,365.0,365.0,30.0,60.0,90.0,270.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,1,1,32.0,4.0,False,True,False,False,False,False
1,1.0,1,1.0,1.0,0.84,1,76.0,82.0,1,1,4.0,1.0,2.0,3.0,30.0,30.0,365.0,365.0,29.0,59.0,89.0,364.0,3.0,2.0,0.0,304.0,120.0,5.0,5.0,4.67,5.0,5.0,5.0,4.67,0,1,75.0,73.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,28.0,5.0,0.0,124.0,2,1,25.0,10.0,False,False,False,False,False,False
1,1.0,1,1.0,1.0,0.92,0,49.0,56.0,1,1,4.0,1.0,0.0,2.0,1.0,1.0,1125.0,1125.0,5.0,5.0,5.0,5.0,189.0,11.0,2.0,5.0,141.0,4.55,4.51,4.62,4.79,4.82,4.84,4.43,1,1,49.0,38.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,4.0,0.0,57.0,2,1,53.0,1.0,False,False,False,False,False,False
