host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bathrooms,bedrooms,beds,off_peak_min,peak_min,peak_max,off_peak_max,availability_30,availability_90,number_of_reviews,number_of_reviews_l30d,estimated_occupancy_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,has_self_checkin,has_wifi,has_kitchen,has_dryer,has_air_conditioning,has_heating,has_dedicated_workspace,has_hair_dryer,has_iron,has_gym,has_bbq_grill,has_breakfast,has_fireplace,has_smoking_allowed,has_pets_allowed,has_wine_glasses,has_crib,has_city_skyline_view,has_river_view,has_luggage_dropoff_allowed,has_long_term_stays_allowed,has_private_entrance,has_exterior_security_cameras,has_elevator,has_lock_on_bedroom_door,has_tub,has_washer,has_pool,has_alarm,has_garden_courtyard_view,has_outdoor,has_free_parking,amenities_count,count_appliances_expensive,has_ott,host_experience_months,log_competition_count_1000m,inner_500_devided_1000,host_non_exposure,hosting_period,calculated_entire_rate,calculated_private_rate,calculated_shared_rate,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_grouped_Hospitality,property_grouped_House,property_grouped_Other
1.0,1.0,1.0,0.81,1,1,4.0,2.0,2.0,2.0,1.0,3.0,1125.0,1125.0,11.0,11.0,41.0,1.0,218.0,4.8,4.85,4.73,4.78,4.76,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,56.0,4.0,1.0,118.0,5.780743515792329,0.2755417956656347,0,28.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,2.0,1.0,0.0,1,1,4.0,2.0,2.0,2.0,90.0,90.0,365.0,365.0,0.0,19.0,3.0,0.0,255.0,5.0,5.0,4.67,4.67,4.67,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,51.0,7.0,0.0,177.0,5.572154032177765,0.465648854961832,1,15.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,0.0,1.0,0.94,0,1,2.0,1.0,1.0,1.0,30.0,30.0,1125.0,1125.0,29.0,89.0,58.0,0.0,0.0,4.81,4.9,4.64,4.86,4.62,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,33.0,4.0,0.0,153.0,5.940171252720432,0.3456464379947229,0,83.0,1.0,0.0,0.0,False,False,False,False,False,False
4.0,1.0,1.0,0.73,1,1,2.0,1.0,1.0,1.0,30.0,30.0,120.0,120.0,5.0,7.0,2.0,0.0,120.0,5.0,5.0,5.0,5.0,4.5,0,1,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,41.0,3.0,0.0,10.0,4.30406509320417,0.6575342465753424,1,7.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,0.0,1.0,0.94,0,1,2.0,1.0,0.0,1.0,30.0,30.0,365.0,365.0,0.0,0.0,344.0,0.0,0.0,4.84,4.94,4.72,4.81,4.81,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,4.0,0.0,159.0,5.525452939131784,0.236,1,158.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,3.0,1.0,0.8,1,0,2.0,1.0,1.0,1.0,30.0,30.0,180.0,180.0,0.0,8.0,22.0,1.0,255.0,5.0,4.95,4.91,4.91,5.0,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,37.0,5.0,1.0,117.0,6.163314804034641,0.2510548523206751,1,47.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,3.0,0.5,0.2,0,1,2.0,1.0,1.0,2.0,30.0,30.0,1125.0,1125.0,29.0,78.0,26.0,0.0,180.0,4.69,4.81,4.62,4.88,4.56,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,4.0,0.0,134.0,4.927253685157205,0.4087591240875912,1,114.0,1.0,0.0,0.0,False,False,False,False,False,False
2.0,1.0,1.0,1.0,0,0,2.0,1.0,1.0,2.0,30.0,30.0,360.0,360.0,0.0,0.0,12.0,0.0,120.0,4.5,4.58,4.33,4.25,4.5,0,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,37.0,4.0,0.0,49.0,4.912654885736052,0.2740740740740741,1,41.0,1.0,0.0,0.0,False,False,False,False,True,False
1.0,1.0,1.0,0.93,1,1,2.0,1.0,1.0,1.0,3.0,3.0,1125.0,1125.0,0.0,6.0,155.0,2.0,255.0,4.97,4.99,4.99,4.77,4.92,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,3.0,1.0,115.0,5.6937321388027,0.2398648648648648,1,39.0,1.0,0.0,0.0,False,False,False,False,True,False
4.0,1.0,1.0,0.82,0,1,4.0,1.0,2.0,2.0,2.0,2.0,365.0,365.0,18.0,78.0,16.0,0.0,166.0,4.5,4.75,4.75,4.56,4.31,1,1,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,44.0,5.0,0.0,37.0,4.382026634673881,0.240506329113924,0,15.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,0.0,1.0,0.94,0,1,1.0,1.0,1.0,1.0,30.0,30.0,30.0,30.0,29.0,89.0,14.0,0.0,0.0,4.79,4.71,4.57,4.5,4.71,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,29.0,4.0,1.0,53.0,5.220355825078324,0.3097826086956521,1,25.0,0.0,1.0,0.0,False,True,False,False,False,False
1.0,1.0,1.0,1.0,1,1,3.0,1.0,1.0,2.0,30.0,30.0,180.0,180.0,0.0,15.0,66.0,0.0,255.0,5.0,5.0,5.0,4.98,4.89,0,1,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,56.0,2.0,0.0,166.0,4.983606621708336,0.2344827586206896,1,55.0,1.0,0.0,0.0,False,False,False,False,False,False
1.0,2.0,1.0,1.0,0,1,2.0,1.0,1.0,1.0,1.0,1.0,365.0,365.0,23.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,4.454347296253507,0.2705882352941176,0,36.0,0.0,1.0,0.0,False,True,False,False,False,False
1.0,0.0,1.0,0.94,0,1,2.0,1.0,1.0,1.0,30.0,30.0,3000.0,3000.0,0.0,0.0,11.0,0.0,0.0,4.82,4.91,4.82,4.73,4.82,0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,110.0,4.897839799950911,0.1804511278195488,0,95.0,0.0,1.0,0.0,False,True,False,False,False,False
1.0,0.0,1.0,0.0,0,0,4.0,1.5,2.0,2.0,30.0,30.0,30.0,30.0,28.0,88.0,19.0,0.0,0.0,4.84,4.84,4.58,4.74,4.68,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,50.0,6.0,1.0,168.0,6.133398042996649,0.3021739130434782,0,43.0,1.0,0.0,0.0,False,False,False,False,False,False
