id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,price
6228461.0,40.62562942504883,-74.02896881103516,Bay Ridge,Brooklyn,68.0
7.453774649615999e+17,40.69968,-73.93857,Bushwick,Brooklyn,40.0
30558081.0,40.6385423,-73.9316307,East Flatbush,Brooklyn,150.0
32617384.0,40.66975,-73.89516,East New York,Brooklyn,40.0
9.658367349670504e+17,40.68238,-73.93672,Bedford-Stuyvesant,Brooklyn,139.0
41592296.0,40.72051,-73.95421,Greenpoint,Brooklyn,269.0
7.969881358280556e+17,40.67894560000001,-73.9437591,Bedford-Stuyvesant,Brooklyn,43.0
30043083.0,40.64994,-73.92874,East Flatbush,Brooklyn,48.0
1.0328753252631612e+18,40.686953692048746,-73.9193057884074,Bedford-Stuyvesant,Brooklyn,80.0
22699847.0,40.69378,-73.94624,Bedford-Stuyvesant,Brooklyn,90.0
46159103.0,40.63349,-73.94547,East Flatbush,Brooklyn,99.0
1.03789395470001e+18,40.65542050436322,-73.9221042394638,East Flatbush,Brooklyn,160.0
53328559.0,40.6868,-73.95541,Bedford-Stuyvesant,Brooklyn,245.0
1.2220867292266683e+18,40.66699,-73.98977,South Slope,Brooklyn,451.0
276317.0,40.67782,-73.97205,Prospect Heights,Brooklyn,630.0
49286428.0,40.64321065415165,-73.96423124456614,Flatbush,Brooklyn,165.0
6.935673610257623e+17,40.68858,-73.9447,Bedford-Stuyvesant,Brooklyn,165.0
13398340.0,40.68725708020328,-73.94281900555438,Bedford-Stuyvesant,Brooklyn,131.0
38178779.0,40.68672,-73.87607,Cypress Hills,Brooklyn,83.0
2415563.0,40.66873,-73.95618,Crown Heights,Brooklyn,62.0
6808818.0,40.68972,-73.91512,Bushwick,Brooklyn,93.0
712260.0,40.68176,-73.99473,Carroll Gardens,Brooklyn,240.0
23301706.0,40.6055151,-74.01652349999999,Bath Beach,Brooklyn,45.0
44397304.0,40.64476,-73.94842,East Flatbush,Brooklyn,88.0
8.730864146760396e+17,40.69804120927054,-73.92842992920049,Bushwick,Brooklyn,200.0
646458.0,40.71406,-73.96749,Williamsburg,Brooklyn,100.0
773885.0,40.69908,-73.95317,Bedford-Stuyvesant,Brooklyn,108.0
36659812.0,40.66948,-73.87611,East New York,Brooklyn,55.0
9116752.0,40.70834,-73.92014,Bushwick,Brooklyn,99.0
39001725.0,40.65106,-73.96183,Flatbush,Brooklyn,88.0
3465604.0,40.68569,-73.973,Fort Greene,Brooklyn,444.0
1.0298062119247985e+18,40.707452869581246,-73.9435877779757,Williamsburg,Brooklyn,174.0
1.070385146027468e+18,40.65301990375153,-73.94250648037658,East Flatbush,Brooklyn,142.0
6.136066854007638e+17,40.68729,-73.90887,Bushwick,Brooklyn,267.0
